ANSI,State,County,sqmiles,y1997,y2002,y2007
a01001,ALABAMA,AUTAUGA,594.4171875,49072,51645,42349
a01003,ALABAMA,BALDWIN,1589.757813,126581,108368,103036
a01005,ALABAMA,BARBOUR,884.8421875,65450,66826,56934
a01007,ALABAMA,BIBB,622.575,16899,15283,8619
a01009,ALABAMA,BLOUNT,644.7,79670,63021,46735
a01011,ALABAMA,BULLOCK,622.7953125,62153,29762,32928
a01013,ALABAMA,BUTLER,776.8296875,38393,27933,25240
a01015,ALABAMA,CALHOUN,605.8640625,41857,33181,25955
a01017,ALABAMA,CHAMBERS,596.5234375,28973,25019,14335
a01019,ALABAMA,CHEROKEE,553.7078125,72762,62530,58326
a01021,ALABAMA,CHILTON,692.8484375,48374,40260,28826
a01023,ALABAMA,CHOCTAW,913.490625,17783,13537,9261
a01025,ALABAMA,CLARKE,1238.445313,17722,14586,10570
a01027,ALABAMA,CLAY,603.9546875,32304,24253,14214
a01029,ALABAMA,CLEBURNE,560.090625,20903,14385,12224
a01031,ALABAMA,COFFEE,678.9671875,96082,92123,80709
a01033,ALABAMA,COLBERT,592.6140625,72630,69414,60028
a01035,ALABAMA,CONECUH,850.140625,36024,25206,22692
a01037,ALABAMA,COOSA,650.9046875,16246,11295,8465
a01039,ALABAMA,COVINGTON,1030.451563,83732,81660,64101
a01041,ALABAMA,CRENSHAW,608.80625,50937,40922,33501
a01043,ALABAMA,CULLMAN,734.859375,122499,113067,87754
a01045,ALABAMA,DALE,561.1421875,66280,62370,54167
a01047,ALABAMA,DALLAS,978.6859375,105482,83055,83081
a01049,ALABAMA,DE KALB,777.0796875,134831,126647,91656
a01051,ALABAMA,ELMORE,618.4796875,65541,44951,43406
a01053,ALABAMA,ESCAMBIA,945.05625,56765,55457,58335
a01055,ALABAMA,ETOWAH,534.79375,50831,44547,29605
a01057,ALABAMA,FAYETTE,627.65,27219,28565,24062
a01059,ALABAMA,FRANKLIN,633.834375,63244,56994,36119
a01061,ALABAMA,GENEVA,574.3890625,124830,114596,89968
a01063,ALABAMA,GREENE,647.0984375,51187,33852,36324
a01065,ALABAMA,HALE,643.93125,56553,41359,35596
a01067,ALABAMA,HENRY,561.753125,95996,85160,79687
a01069,ALABAMA,HOUSTON,579.8125,144424,117599,114896
a01071,ALABAMA,JACKSON,1077.865625,138252,122824,112500
a01073,ALABAMA,JEFFERSON,1111.201563,22078,17025,12245
a01075,ALABAMA,LAMAR,604.84375,28134,24007,18567
a01077,ALABAMA,LAUDERDALE,667.6984375,143639,116599,108239
a01079,ALABAMA,LAWRENCE,690.66875,146603,137540,116060
a01081,ALABAMA,LEE,607.540625,23774,21506,13903
a01083,ALABAMA,LIMESTONE,559.9390625,191138,142300,149962
a01085,ALABAMA,LOWNDES,715.9,64981,56121,42195
a01087,ALABAMA,MACON,608.934375,45790,40291,34834
a01089,ALABAMA,MADISON,801.5953125,174863,140962,122790
a01091,ALABAMA,MARENGO,976.871875,68781,64990,36615
a01093,ALABAMA,MARION,742.2890625,48658,42972,30268
a01095,ALABAMA,MARSHALL,565.821875,90480,78159,61494
a01097,ALABAMA,MOBILE,1229.426563,64997,52291,44155
a01099,ALABAMA,MONROE,1025.657813,58399,53061,45873
a01101,ALABAMA,MONTGOMERY,784.196875,103123,86485,59779
a01103,ALABAMA,MORGAN,579.3296875,99523,74222,72794
a01105,ALABAMA,PERRY,719.653125,64821,53264,39723
a01107,ALABAMA,PICKENS,881.3484375,47723,37414,28557
a01109,ALABAMA,PIKE,671.940625,80276,61343,52990
a01111,ALABAMA,RANDOLPH,580.5421875,43626,32289,19914
a01113,ALABAMA,RUSSELL,641.1640625,34279,28059,24328
a01115,ALABAMA,SAINT CLAIR,631.875,39495,31514,20976
a01117,ALABAMA,SHELBY,784.91875,41696,30724,21070
a01119,ALABAMA,SUMTER,903.878125,63066,45195,35747
a01121,ALABAMA,TALLADEGA,736.7625,63186,52976,48612
a01123,ALABAMA,TALLAPOOSA,716.4546875,29741,20753,13121
a01125,ALABAMA,TUSCALOOSA,1321.735938,45688,36768,38196
a01127,ALABAMA,WALKER,791.1921875,30519,27342,20886
a01129,ALABAMA,WASHINGTON,1080.190625,27696,20145,18971
a01131,ALABAMA,WILCOX,888.4890625,39659,34492,33364
a01133,ALABAMA,WINSTON,612.9703125,30128,29690,20526
a01000,ALABAMA,,52419.02,#N/A,#N/A,#N/A
a02000,ALASKA,,663267.26,0,375,275
a02013,ALASKA,Aleutians East Borough,,#N/A,#N/A,#N/A
a02016,ALASKA,Aleutians West Census Area,,#N/A,#N/A,#N/A
a02020,ALASKA,Anchorage Municipality,,#N/A,#N/A,#N/A
a02050,ALASKA,Bethel Census Area,,#N/A,#N/A,#N/A
a02060,ALASKA,Bristol Bay Borough,,#N/A,#N/A,#N/A
a02068,ALASKA,Denali Borough,,#N/A,#N/A,#N/A
a02070,ALASKA,Dillingham Census Area,,#N/A,#N/A,#N/A
a02090,ALASKA,Fairbanks North Star Borough,,#N/A,#N/A,#N/A
a02100,ALASKA,Haines Borough,,#N/A,#N/A,#N/A
a02105,ALASKA,Hoonah-Angoon Census Area,,#N/A,#N/A,#N/A
a02110,ALASKA,Juneau City and Borough,,#N/A,#N/A,#N/A
a02122,ALASKA,Kenai Peninsula Borough,,#N/A,#N/A,#N/A
a02130,ALASKA,Ketchikan Gateway Borough,,#N/A,#N/A,#N/A
a02150,ALASKA,Kodiak Island Borough,,#N/A,#N/A,#N/A
a02164,ALASKA,Lake and Peninsula Borough,,#N/A,#N/A,#N/A
a02170,ALASKA,Matanuska-Susitna Borough,,#N/A,#N/A,#N/A
a02180,ALASKA,Nome Census Area,,#N/A,#N/A,#N/A
a02185,ALASKA,North Slope Borough,,#N/A,#N/A,#N/A
a02188,ALASKA,Northwest Arctic Borough,,#N/A,#N/A,#N/A
a02195,ALASKA,Petersburg Census Area,,#N/A,#N/A,#N/A
a02198,ALASKA,Prince of Wales-Hyder Census Area,,#N/A,#N/A,#N/A
a02220,ALASKA,Sitka City and Borough,,#N/A,#N/A,#N/A
a02230,ALASKA,Skagway Municipality,,#N/A,#N/A,#N/A
a02240,ALASKA,Southeast Fairbanks Census Area,,#N/A,#N/A,#N/A
a02261,ALASKA,Valdez-Cordova Census Area,,#N/A,#N/A,#N/A
a02270,ALASKA,Wade Hampton Census Area,,#N/A,#N/A,#N/A
a02275,ALASKA,Wrangell City and Borough,,#N/A,#N/A,#N/A
a02282,ALASKA,Yakutat City and Borough,,#N/A,#N/A,#N/A
a02290,ALASKA,Yukon-Koyukuk Census Area,,#N/A,#N/A,#N/A
a04001,ARIZONA,APACHE,11197.43906,16882,23714,27455
a04003,ARIZONA,COCHISE,6165.910938,123691,131382,141156
a04005,ARIZONA,COCONINO,18618.74531,0,0,20483
a04007,ARIZONA,GILA,4757.989063,8574,6434,3738
a04009,ARIZONA,GRAHAM,4622.545313,0,37994,35251
a04011,ARIZONA,GREENLEE,1843.103125,8345,6044,6687
a04012,ARIZONA,LAPAZ,4499.564063,0,98245,123314
a04013,ARIZONA,MARICOPA,9200.34375,356639,288387,267295
a04015,ARIZONA,MOHAVE,13305.4625,21251,34946,31232
a04017,ARIZONA,NAVAJO,9950.370313,19210,28195,16867
a04019,ARIZONA,PIMA,9186.314063,0,47147,49641
a04021,ARIZONA,PINAL,5366.296875,0,252291,256042
a04023,ARIZONA,SANTA CRUZ,1236.9125,12342,0,7956
a04025,ARIZONA,YAVAPAI,8123.371875,24977,28534,25255
a04027,ARIZONA,YUMA,5513.901563,228758,212995,193053
a04000,ARIZONA,,113998.3,#N/A,#N/A,#N/A
a05001,ARKANSAS,ARKANSAS,988.4484375,379152,339099,359044
a05003,ARKANSAS,ASHLEY,923.015625,143822,140116,120139
a05005,ARKANSAS,BAXTER,557.109375,41743,36907,18835
a05007,ARKANSAS,BENTON,847.303125,169966,159090,101107
a05009,ARKANSAS,BOONE,590.2296875,117449,114605,57607
a05011,ARKANSAS,BRADLEY,650.634375,15693,14423,9646
a05013,ARKANSAS,CALHOUN,628.275,10793,7614,6154
a05015,ARKANSAS,CARROLL,630.146875,106380,111793,64830
a05017,ARKANSAS,CHICOT,644.290625,260330,229110,221290
a05019,ARKANSAS,CLARK,865.4734375,51594,49947,29855
a05021,ARKANSAS,CLAY,639.259375,302136,305868,293353
a05023,ARKANSAS,CLEBURNE,553.0515625,58170,54074,38482
a05025,ARKANSAS,CLEVELAND,597.7453125,13354,16061,9343
a05027,ARKANSAS,COLUMBIA,773.2640625,26862,19427,15129
a05029,ARKANSAS,CONWAY,552.253125,100581,102364,88494
a05031,ARKANSAS,CRAIGHEAD,707.19375,347943,322392,301734
a05033,ARKANSAS,CRAWFORD,594.4765625,80258,81906,51707
a05035,ARKANSAS,CRITTENDEN,609.809375,313438,294450,278751
a05037,ARKANSAS,CROSS,615.8375,321257,294484,254423
a05039,ARKANSAS,DALLAS,667.4203125,9353,7849,4942
a05041,ARKANSAS,DESHA,764.9796875,263704,250076,280455
a05043,ARKANSAS,DREW,828.178125,97761,81284,80654
a05045,ARKANSAS,FAULKNER,647.4578125,123912,119921,71453
a05047,ARKANSAS,FRANKLIN,609.584375,86968,84872,52763
a05049,ARKANSAS,FULTON,618.1734375,95689,92208,28904
a05051,ARKANSAS,GARLAND,677.24375,22049,17951,11416
a05053,ARKANSAS,GRANT,631.809375,16495,17394,11825
a05055,ARKANSAS,GREENE,577.5625,237587,214768,229272
a05057,ARKANSAS,HEMPSTEAD,727.5125,90280,84592,66626
a05059,ARKANSAS,HOT SPRING,614.925,37682,32567,25407
a05061,ARKANSAS,HOWARD,587.5140625,52311,53169,34747
a05063,ARKANSAS,INDEPENDENCE,763.78125,156665,140500,99622
a05065,ARKANSAS,IZARD,580.2328125,80678,75296,38036
a05067,ARKANSAS,JACKSON,633.5234375,300858,286780,266354
a05069,ARKANSAS,JEFFERSON,870.7609375,264318,247639,259227
a05071,ARKANSAS,JOHNSON,659.7609375,67888,62416,40677
a05073,ARKANSAS,LAFAYETTE,528.271875,65216,68511,55243
a05075,ARKANSAS,LAWRENCE,586.6078125,242908,230123,200765
a05077,ARKANSAS,LEE,601.728125,266309,259174,288419
a05079,ARKANSAS,LINCOLN,560.971875,157717,161246,131580
a05081,ARKANSAS,LITTLE RIVER,531.1890625,84891,76749,50912
a05083,ARKANSAS,LOGAN,708.1421875,108854,99576,64105
a05085,ARKANSAS,LONOKE,766.0796875,333507,289562,293183
a05087,ARKANSAS,MADISON,834.2453125,126294,117036,73146
a05089,ARKANSAS,MARION,597.0046875,54477,49418,28674
a05091,ARKANSAS,MILLER,624.265625,105396,96288,101233
a05093,ARKANSAS,MISSISSIPPI,898.628125,494010,457670,451917
a05095,ARKANSAS,MONROE,606.559375,215062,208670,210980
a05097,ARKANSAS,MONTGOMERY,779.8546875,36740,38799,27067
a05099,ARKANSAS,NEVADA,617.846875,36889,36873,23821
a05101,ARKANSAS,NEWTON,820.8890625,39163,44733,24516
a05103,ARKANSAS,OUACHITA,732.4421875,13748,11688,10578
a05105,ARKANSAS,PERRY,550.9890625,47031,40737,32979
a05107,ARKANSAS,PHILLIPS,692.6859375,350060,314610,424166
a05109,ARKANSAS,PIKE,600.6109375,31834,30383,23652
a05111,ARKANSAS,POINSETT,757.809375,384155,353068,322991
a05113,ARKANSAS,POLK,857.696875,62555,61333,44973
a05115,ARKANSAS,POPE,811.8625,88832,82823,65829
a05117,ARKANSAS,PRAIRIE,645.8921875,262575,251763,234670
a05119,ARKANSAS,PULASKI,759.7609375,80947,77480,61928
