ANSI,State,County,sqmiles,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
a01001,ALABAMA,AUTAUGA,594.4171875,0,0,0,21500,8000,8600,2500,2300,0
a01003,ALABAMA,BALDWIN,1589.757813,0,0,0,28900,23900,35600,12800,6600,5400
a01005,ALABAMA,BARBOUR,884.8421875,0,0,0,39100,18600,12600,6400,0,1900
a01007,ALABAMA,BIBB,622.575,0,0,0,7200,2200,0,0,0,0
a01009,ALABAMA,BLOUNT,644.7,0,0,0,36000,10000,4800,2500,2200,0
a01011,ALABAMA,BULLOCK,622.7953125,0,0,0,12600,6600,4200,1100,0,0
a01013,ALABAMA,BUTLER,776.8296875,0,0,0,27800,12400,4700,2800,2000,1800
a01015,ALABAMA,CALHOUN,605.8640625,0,0,0,16200,4900,1500,1600,0,1300
a01017,ALABAMA,CHAMBERS,596.5234375,0,0,0,9700,2700,0,0,0,0
a01019,ALABAMA,CHEROKEE,553.7078125,0,0,0,35000,12100,2900,2600,2500,2600
a01021,ALABAMA,CHILTON,692.8484375,0,0,0,17300,6600,3700,0,0,0
a01023,ALABAMA,CHOCTAW,913.490625,0,0,0,16500,7200,3100,1000,0,0
a01025,ALABAMA,CLARKE,1238.445313,0,0,0,16600,6900,3600,900,0,0
a01027,ALABAMA,CLAY,603.9546875,0,0,0,9100,2550,1700,0,0,0
a01029,ALABAMA,CLEBURNE,560.090625,0,0,0,8400,2500,1800,1000,0,0
a01031,ALABAMA,COFFEE,678.9671875,0,0,0,57300,26600,20600,10400,9000,7300
a01033,ALABAMA,COLBERT,592.6140625,0,0,0,20000,5050,3100,2200,8000,21200
a01035,ALABAMA,CONECUH,850.140625,0,0,0,37500,17000,13500,8500,3400,1000
a01037,ALABAMA,COOSA,650.9046875,0,0,0,4000,1000,0,0,0,0
a01039,ALABAMA,COVINGTON,1030.451563,0,0,0,61500,29000,10500,5800,2700,2800
a01041,ALABAMA,CRENSHAW,608.80625,0,0,0,39400,15600,12400,4500,3000,2200
a01043,ALABAMA,CULLMAN,734.859375,0,0,0,56100,16100,6100,4000,3100,3300
a01045,ALABAMA,DALE,561.1421875,0,0,0,31300,16700,14300,8800,5000,0
a01047,ALABAMA,DALLAS,978.6859375,0,0,0,36000,13400,7800,3000,3500,5300
a01049,ALABAMA,DE KALB,777.0796875,0,0,0,92400,31000,25500,18500,13900,10200
a01051,ALABAMA,ELMORE,618.4796875,0,0,0,25100,8300,4100,2300,2800,3200
a01053,ALABAMA,ESCAMBIA,945.05625,0,0,0,23700,13700,14700,14200,3600,2500
a01055,ALABAMA,ETOWAH,534.79375,0,0,0,25600,8700,4500,2300,2100,0
a01057,ALABAMA,FAYETTE,627.65,0,0,0,23700,7150,4700,4300,3000,2500
a01059,ALABAMA,FRANKLIN,633.834375,0,0,0,23200,5950,6800,3500,0,2900
a01061,ALABAMA,GENEVA,574.3890625,0,0,0,75700,39900,39700,12400,7500,0
a01063,ALABAMA,GREENE,647.0984375,0,0,0,16000,4800,2400,1800,2100,0
a01065,ALABAMA,HALE,643.93125,0,0,0,13300,4200,1900,1900,2600,0
a01067,ALABAMA,HENRY,561.753125,0,0,0,38400,19700,21200,10400,0,3000
a01069,ALABAMA,HOUSTON,579.8125,0,0,0,69300,41100,24000,16100,8000,3300
a01071,ALABAMA,JACKSON,1077.865625,0,0,0,72700,26500,22800,18000,23000,23000
a01073,ALABAMA,JEFFERSON,1111.201563,0,0,0,4400,1450,0,0,0,0
a01075,ALABAMA,LAMAR,604.84375,0,0,0,18800,4250,2400,3400,2300,0
a01077,ALABAMA,LAUDERDALE,667.6984375,0,0,0,28500,7500,5300,7500,7700,20700
a01079,ALABAMA,LAWRENCE,690.66875,0,0,0,50300,12400,4600,4500,10500,29700
a01081,ALABAMA,LEE,607.540625,0,0,0,11700,2850,2900,1100,0,0
a01083,ALABAMA,LIMESTONE,559.9390625,0,0,0,38600,11500,12400,8100,7400,21500
a01085,ALABAMA,LOWNDES,715.9,0,0,0,13100,4300,4000,1700,4200,0
a01087,ALABAMA,MACON,608.934375,0,0,0,20100,7050,2800,1000,1500,0
a01089,ALABAMA,MADISON,801.5953125,0,0,0,52700,14700,16700,13300,13000,22100
a01091,ALABAMA,MARENGO,976.871875,0,0,0,16400,4350,3100,2900,2000,0
a01093,ALABAMA,MARION,742.2890625,0,0,0,25600,7000,5000,7100,3000,0
a01095,ALABAMA,MARSHALL,565.821875,0,0,0,67700,17200,14000,9000,5800,3700
a01097,ALABAMA,MOBILE,1229.426563,0,0,0,19000,12800,14400,5900,2200,0
